Age,Salary,Loan Amount,Years at Job,Debt to Income Ratio,Credit Score,Marital Status,Employment Type,Education Level,Home Ownership,Past Loan Defaults,Loan Purpose,Number of Dependents,Phone Number,Email Address,Credit Approval
56,76199.35518231537,36307.14317823876,14,0.5792663538205268,625,Divorced,Unemployed,PhD,Mortgage,3,Home,4,+1-636-151-7737,john.doe@testmail.com,0
69,50990.5265182075,7195.26117529279,2,0.759351025752613,742,Married,Unemployed,Master's,Own,2,Car,3,+1-885-107-6793,john.doe@example.com,1
46,82317.48755041041,28967.113373034295,35,0.0988736176406354,399,Married,Self-employed,Master's,Rent,2,Car,1,+1-835-394-2186,john.doe@example.com,0
32,107682.46697901035,48295.488766642244,3,0.8896520330175663,358,Married,Salaried,Bachelor's,Own,3,Business,3,+1-942-912-9205,john.doe@testmail.com,0
60,109232.39717745752,9926.098702450425,13,0.01230970301607559,807,Divorced,Self-employed,Bachelor's,Own,0,Education,0,+1-335-540-4331,john.doe@testmail.com,1
25,51301.66743138709,45251.59689356304,24,0.37005233467425525,557,Single,Salaried,High School,Mortgage,1,Home,3,+1-787-823-3436,john.doe@demo.org,0
38,111692.43357136917,49616.39008152717,9,0.027420309972657653,712,Single,Salaried,High School,Rent,1,Business,2,+1-148-757-3101,john.doe@example.com,0
56,83269.98649391558,7768.266180765577,20,0.39297422534529125,751,Divorced,Self-employed,PhD,Rent,0,Home,1,+1-290-578-4667,john.doe@demo.org,1
36,61519.64220302822,44730.782111185756,35,0.5258125988733238,364,Divorced,Salaried,High School,Mortgage,3,Business,3,+1-744-141-3214,john.doe@demo.org,0
40,93736.30760248798,28223.55591996275,11,0.5116813865815117,453,Married,Salaried,Bachelor's,Own,1,Business,0,+1-199-244-1178,john.doe@testmail.com,0
28,73350.02891677039,45793.1173750061,26,0.16562834702826534,565,Single,Unemployed,PhD,Own,3,Education,1,+1-308-770-8560,john.doe@testmail.com,0
28,64018.8831110029,30709.352386380833,39,0.6457405100956123,378,Married,Salaried,High School,Own,3,Car,0,+1-245-148-3804,john.doe@testmail.com,0
41,93457.59278669939,34795.04045479541,1,0.04477845050466822,614,Divorced,Self-employed,Master's,Own,2,Car,4,+1-825-926-7958,john.doe@testmail.com,1
53,52385.173898725916,29470.050859882966,12,0.7619068201324154,547,Married,Salaried,High School,Mortgage,0,Education,2,+1-423-105-1988,john.doe@testmail.com,0
